Номер	ФИО	Фамилия	Имя	Отчество	Пол (0 - муж, 1 - жен)	Дата рождения	Организация	Должность
1	Баринов Игорь Вячеславович	Баринов	Игорь	Вячеславович	0	1968	Государственная Дума ФС РФ	Депутат
2	Белозеров Олег Валентинович	Белозеров	Олег	Валентинович	0	1969	Росавтодор	Руководитель
3	Бударгин Олег Михайлович	Бударгин	Олег	Михайлович	0	1960	Аппарат полномочного представителя Президента РФ в СФО	Помощник полномочного представителя
4	Вельмяйкин Сергей Федорович 	Вельмяйкин	Сергей	Федорович	0	1978	Минздравсоцразвития России	Директор Департамента
5	Вовченко Алексей Витальевич	Вовченко	Алексей	Витальевич	0	1975	Роструд	Заместитель руководителя
6	Воскресенский Станислав Сергеевич	Воскресенский	Станислав	Сергеевич	0	1976	Минэкономразвития России	Заместитель Министра
7	Гончаров Владимир Александрович	Гончаров	Владимир	Александрович	0	1972	Росрегистрация	Руководитель Управления по Ростовской области
8	Горбачик Татьяна Владимировна	Горбачик	Татьяна	Владимировна	1	1970	Минтранс России	Директор Департамента
9	Денисенко Олег Иванович	Денисенко	Олег	Иванович	0	1962	Государственная Дума ФС РФ	Депутат
10	Жуков Андрей Викторович	Жуков	Андрей	Викторович	0	1971	Минтранс России 	Начальник Северо-Западного межрегионального управления государственного автодорожного надзора
11	Зубков Игорь Валерьевич	Зубков	Игорь	Валерьевич	0	1970	Аппарат полномочного представителя Президента РФ в ЦФО	Помощник полномочного представителя Президента РФ
12	Изотова Анна Владимировна	Изотова	Анна	Владимировна	1	1976	ФСТ России	Начальник управления
13	Караваев Игорь Евгеньевич	Караваев	Игорь	Евгеньевич	0	1968	Минпромторг России	Директор Департамента
14	Кибовский Александр Владимирович	Кибовский	Александр	Владимирович	0	1973	Росохранкультура	Руководитель
15	Ковальчук Борис Юрьевич	Ковальчук	Борис	Юрьевич	0	1977	Аппарат Правительства РФ	Директор Департамента
16	Косачев Константин Иосифович	Косачев	Константин	Иосифович	0	1962	Государственная Дума ФС РФ	Председатель комитета
17	Курбатов Михаил Юрьевич	Курбатов	Михаил	Юрьевич	0	1981	Минэкономразвития России	Директор Департамента
18	Мантуров Денис Валентинович	Мантуров	Денис	Валентинович	0	1969	Минпромторг России	Заместитель Министра
19	Минх Гарри Владимирович	Минх	Гарри	Владимирович	0	1959	Аппарат Правительства РФ	Директор правового департамента
20	Наумов Станислав Александрович	Наумов	Станислав	Александрович	0	1972	Минпромторг России	Статс-секретарь – заместитель Министра
21	Новак Александр Валентинович	Новак	Александр	Валентинович	0	1971	Минфин России	Заместитель Министра
22	Носков Константин Юрьевич	Носков	Константин	Юрьевич	0	1978	Аппарат Правительства РФ	Заместитель директора Департамента
23	Пепеляева Лиана Витальевна 	Пепеляева	Лиана	Витальевна	1	1965	Государственная Дума ФС РФ	Заместитель председателя комитета по финансовым рынкам
24	Ракова Анастасия Владимировна	Ракова	Анастасия	Владимировна	1	1976	Минрегион России	Заместитель Министра – статс-секретарь
25	Решетников Максим Геннадьевич	Решетников	Максим	Геннадьевич	0	1979	Минрегион России	Директор Департамента
26	Саватюгин Алексей Львович	Саватюгин	Алексей	Львович	0	1970	Минфин России	Директор Департамента
27	Савельев Олег Генрихович	Савельев	Олег	Генрихович	0	1965	Минэкономразвития России	Заместитель Министра
28	Слепнев Андрей Александрович	Слепнев	Андрей	Александрович	0	1969	Минсельхоз России	Заместитель Министра
29	Токарев Владимир Александрович	Токарев	Владимир	Александрович	0	1977	Росжелдор	Заместитель руководителя
30	Травников Максим Александрович	Травников	Максим	Александрович	0	1974	Минрегион России	Заместитель Министра
31	Трунин Илья Вячеславович	Трунин	Илья	Вячеславович	0	1976	Минфин России	Директор Департамента
32	Турчак Андрей Анатольевич	Турчак	Андрей	Анатольевич	0	1975	Совет Федерации Федерального Собрания Российской Федерации	Заместитель Председателя Комиссии СФ по делам молодежи и туризму
33	Фомичев Олег Владиславович	Фомичев	Олег	Владиславович	0	1977	Минэкономразвития России	Директор Департамента
34	Чинилин Павел Юрьевич	Чинилин	Павел	Юрьевич	0	1971	Аппарат Правительства РФ	Заместитель Директора Департамента
35	Шадаев Максут Игоревич	Шадаев	Максут	Игоревич	0	1979	Администрация Президента РФ	Помощник Руководителя
36	Шаров Андрей Владимирович	Шаров	Андрей	Владимирович	0	1971	Минэкономразвития России	Директор Департамента
37	Азаров Дмитрий Игоревич	Азаров	Дмитрий	Игоревич	0	1970	Правительство Самарской области 	Министр природных ресурсов и охраны окружающей среды
38	Акимов Максим Алексеевич	Акимов	Максим	Алексеевич	0	1970	Администрация Калужской области 	Вице-губернатор
39	Александров Алексей Олегович	Александров	Алексей	Олегович	0	1960	Правительство Москвы 	Префект Центрального административного округа города Москвы
40	Бровко Анатолий Григорьевич	Бровко	Анатолий	Григорьевич	0	1966	Администрация Волгоградской области 	Заместитель главы администрации по инвестициям и торговле
41	Гайзер Вячеслав Михайлович	Гайзер	Вячеслав	Михайлович	0	1966	Правительство Республики Коми	Заместитель главы Республики – Министр финансов
42	Гапликов Сергей Анатольевич	Гапликов	Сергей	Анатольевич	0	1970	Кабинет Министров Чувашской Республики	Председатель Кабинета Министров
43	Ильиных Сергей Евгеньевич 	Ильиных	Сергей	Евгеньевич	0	1975	Администрация Томской области 	Заместитель губернатора по социальной политике
44	Исмагилов Рашид Фаатович	Исмагилов	Рашид	Фаатович	0	1960	Администрация Ленинградской области 	Вице-губернатор
45	Куйвашев Евгений Владимирович	Куйвашев	Евгений	Владимирович	0	1971	Мэрия г.Тюмень	Мэр города
46	Кувшинников Олег Александрович	Кувшинников	Олег	Александрович	0	1965	Мэрия г.Череповец Волгоградской области	Мэр города
47	Кулагин Дмитрий Владимирович	Кулагин	Дмитрий	Владимирович	0	1968	Законодательное Собрание Оренбургской области 	Председатель
48	Куличенко Вадим Петрович	Куличенко	Вадим	Петрович	0	1973	Правительство Самарской области 	Заместитель Председателя – Министр здравоохранения и социального развития
49	Матвеева Елена Юрьевна	Матвеева	Елена	Юрьевна	1	1966	Правительство Калининградской области 	Министр финансов
50	Метшин Ильсур Раисович	Метшин	Ильсур	Раисович	0	1969	Администрация г.Казань	Мэр города
51	Мещеряков Терентий Владимирович	Мещеряков	Терентий	Владимирович	0	1974	Законодательное Собрание Санкт-Петербурга	Депутат
52	Мискевич Евгений Васильевич	Мискевич	Евгений	Васильевич	0	1978	Правительство Тюменской области 	Начальник главного управления строительства
53	Нетеребский Олег Викторович 	Нетеребский	Олег	Викторович	0	1960	Правительство г.Москва	Руководитель Департамента труда и занятости
54	Никифоров Николай Анатольевич	Никифоров	Николай	Анатольевич	0	1982	Центр информационных технологий Республики Татарстан 	Генеральный директор Татарстан
55	Редин Евгений Владимирович	Редин	Евгений	Владимирович	0	1969	Законодательное Собрание Челябинской области	Первый заместитель Председателя
56	Сватковский Дмитрий Валерьевич	Сватковский	Дмитрий	Валерьевич	0	1971	Правительство Нижегородской области 	Министр инвестиционной политики
57	Соколов Максим Юрьевич	Соколов	Максим	Юрьевич	0	1968	Правительство Санкт-Петербурга	Председатель Комитета по инвестициям и стратегическим проектам
58	Сухих Валерий Александрович	Сухих	Валерий	Александрович	0	1965	Правительство Пермского края	Председатель Правительства
59	Ярин Андрей Вениаминович	Ярин	Андрей	Вениаминович	0	1970	Правительство Кабардино-Балкарской Республики	Председатель Правительства
60	Акимов Константин Владимирович	Акимов	Константин	Владимирович	0	1969	«ЛПК Континенталь Менеджмент» 	Председатель Совета директоров
61	Андреев Федор Борисович	Андреев	Федор	Борисович	0	1966	ОАО «Российские железные дороги»	Старший вице-президент
62	Анцев Георгий Викторович	Анцев	Георгий	Викторович	0	1961	ОАО «НПП «Радар ММС» 	Генеральный директор-главный конструктор
63	Арутюнов Александр Борисович	Арутюнов	Александр	Борисович	0	1971	ВАО «Интурист»	Президент
64	Баткибеков Саид Белетбекович	Баткибеков	Саид	Белетбекович	0	1977	Компания «Тройка Кэпитал Партнерс Лимитед»	Вице-президент
65	Баумгертнер Владислав Артурович	Баумгертнер	Владислав	Артурович	0	1972	ОАО «Уралкалий»	Генеральный директор
66	Бобровников Борис Леонидович	Бобровников	Борис	Леонидович	0	1960	«Крок Инкорпорейтед» 	Генеральный директор
67	Бокарев Андрей Рэмович	Бокарев	Андрей	Рэмович	0	1966	ОАО «УК «Кузбассразрезуголь»	Председатель Совета директоров
68	Бородин Павел Андреевич 	Бородин	Павел	Андреевич	0	1971	Федеральный фонд содействия развитию экономической стратегии 	Заместитель гендиректора
69	Булыгин Александр Станиславович	Булыгин	Александр	Станиславович	0	1968	Объединенная компания «РУСАЛ»	Председатель Правления, Генеральный директор
70	Буренин Андрей Викторович	Буренин	Андрей	Викторович	0	1974	АО «Ренова-менеджмент АГ»	Финансовый директор
71	Волож Аркадий Юрьевич	Волож	Аркадий	Юрьевич	0	1964	Компания ООО «Яндекс» 	Генеральный директор
72	Григорьев Александр Валерьевич	Григорьев	Александр	Валерьевич	0	1963	ОСАО «Ингосстрах»	Генеральный директор, Председатель Правления
73	Дергунова Ольга Константиновна	Дергунова	Ольга	Константиновна	1	1965	ОАО Банк ВТБ	Член Правления
74	Дубинский Андрей Юрьевич	Дубинский	Андрей	Юрьевич	0	1960	Группа компаний БДО «Юникон»	Генеральный директор
75	Задорнов Михаил Михайлович	Задорнов	Михаил	Михайлович	0	1963	ЗАО «ВТБ 24»	Президент-Председатель Правления
76	Ивлев Александр Владимирович	Ивлев	Александр	Владимирович	0	1967	«Эрнст энд Янг (СНГ) Б.В.»	Партнер, член Совета директоров компании в СНГ
77	Изосимов  Александр Вадимович	Изосимов	Александр	Вадимович	0	1964	ОАО «ВымпелКом»	Генеральный директор
78	Козицин Андрей Анатольевич 	Козицин	Андрей	Анатольевич	0	1960	ООО «УГМК – Холдинг» 	Генеральный директор
79	Медников Дмитрий Юрьевич	Медников	Дмитрий	Юрьевич	0	1980	Главная редакция ЭСМИ «Российский Информационный канал»  	Главный редактор
80	Меламед Леонид Адольфович	Меламед	Леонид	Адольфович	0	1967	ОАО АФК «Система»	Президент
81	Меньщиков Владислав Владимирович	Меньщиков	Владислав	Владимирович	0	1959	ОАО «Концерн ПВО «Алмаз-Антей» 	Генеральный директор
82	Мишустин Михаил Владимирович	Мишустин	Михаил	Владимирович	0	1966	UFG Asset Management	Президент
83	Москаленко Алексей Анатольевич	Москаленко	Алексей	Анатольевич	0	1981	ООО «ЛЛК Интернешнл»	Зам. начальника Управления правового обеспечения
84	Перцовский Александр Наумович	Перцовский	Александр	Наумович	0	1968	Инвестиционная компания «Ренессанс капитал»	Председатель Правления
85	Плешакова Ольга Александровна	Плешакова	Ольга	Александровна	1	1965	Авиакомпания «Трансаэро»	Генеральный директор
86	Попова Татьяна Юрьевна	Попова	Татьяна	Юрьевна	1	1972	Государственная корпорация – Фонд содействия реформированию ЖКХ 	Зам. генерального директора – руководитель Аппарата Фонда
87	Рашевский Владимир Валерьевич	Рашевский	Владимир	Валерьевич	0	1973	Сибирско-уральская энергетическая компания («СУЭК»)	Генеральный директор и Председатель Правления
88	Хасис Лев Аронович	Хасис	Лев	Аронович	0	1966	X5 Retail Group N.V.	Главный исполнительный директор, Председатель Правления
89	Шахов Олег Федорович	Шахов	Олег	Федорович	0	1969	ЗАО «Центр управленческих, экономических и правовых инициатив «Стратегия»	Вице-президент
90	Юдаева Ксения Валентиновна	Юдаева	Ксения	Валентиновна	1	1970	Сбербанк России	Главный экономист
91	Юрьев Евгений Леонидович	Юрьев	Евгений	Леонидович	0	1971	Инвестиционная группа «Атон»	Президент
92	Волков Андрей Евгеньевич	Волков	Андрей	Евгеньевич	0	1960	Московская школа управления «Сколково»	Ректор
93	Вербицкий Владимир Константинович	Вербицкий	Владимир	Константинович	0	1959	Российский институт директоров	Первый заместитель директора
94	Дьякова Елена Григорьевна	Дьякова	Елена	Григорьевна	1	1965	Общественная палата РФ, Институт философии и права Уральского отделения РАН	Ведущий научный сотрудник
95	Гуриев Сергей Маратович	Гуриев	Сергей	Маратович	0	1971	Российская экономическая школа	Ректор
96	Ливанов Дмитрий Викторович	Ливанов	Дмитрий	Викторович	0	1967	Московский институт стали и сплавов	Ректор
97	Матишов Дмитрий Геннадьевич	Матишов	Дмитрий	Геннадьевич	0	1966	Южный научный центр РАН, Южный федеральный университет	Заместитель председателя, заведующий кафедрой океанологии
98	Миронюк Светлана Васильевна	Миронюк	Светлана	Васильевна	1	1968	ФГУП РАМИ РИА «Новости»	Главный редактор
99	Назаров Владимир Станиславович	Назаров	Владимир	Станиславович	0	1982	Институт экономики переходного периода	Заведующий лабораторией бюджетного федерализма
100	Урличич Юрий Матэвич	Урличич	Юрий	Матэвич	0	1962	Российский НИИ космического приборостроения	Генеральный директор – генеральный конструктор
