num	name	address	chief	phone	fax
1.0	Управление Федерального казначейства по Республике Адыгея	385000, г. Майкоп,  ул. Гоголя, 18	Серенко  Надежда Дмитриевна	(8772) 52-48-00	(8772) 52-24-87
2.0	Управление Федерального казначейства по Республике Алтай	649000, г. Горно-Алтайск,   ул. Чаптынова, 4	Серебренников  Николай Александрович	(38822) 2-84-28	(38822) 2-84-28
3.0	Управление Федерального казначейства по Республике Башкортостан	450076, г. Уфа,  ул. Гоголя, 62	Марварова Светлана Ревмеровна	(347) 251-50-99	(347) 250-60-80
4.0	Управление Федерального казначейства по Республике Бурятия	670010, г. Улан-Удэ,  ул. Толстого, 3	Прокосов  Олег Геннадьевич	(3012) 22-27-95	(3012) 22-27-93
5.0	Управление Федерального казначейства по Республике Дагестан	367015, г. Махачкала,  ул. М. Ярагского, 93	Магомедов  Сайгидгусейн Ахмедович	(8722) 67-00-77	(8722) 78-01-68
6.0	Управление Федерального казначейства по Республике Ингушетия	386001, г. Магас,  ул. Горчханова, 7	Яндиев  Абдулазис Джабраилович	(8734) 55-14-56	(8734) 55-14-66
7.0	Управление Федерального казначейства по Кабардино-Балкарской Республике	360000, г. Нальчик,  ул. Ногмова, 37	Зрумов  Леонид Хачимович	(8662) 42-03-99	(8662) 42-03-99
8.0	Управление Федерального казначейства по Республике Калмыкия	358000, г. Элиста,  ул. Ленина, 242	Пашнанов  Эрдне Лиджиеввич	(84722) 4-01-39	(84722) 4-00-26
9.0	Управление Федерального казначейства по Карачаево-Черкеcской Республике	369000, г. Черкесск,  ул. Красноармейская, 70-а	Батруков  Рамазан Сафарович	(87822) 5-00-21	(87822) 5-13-59
10.0	Управление Федерального казначейства по Республике Карелия	185035, г. Петрозаводск,  ул. Куйбышева, 21	Максимов  Анатолий Петрович	(8142) 79-16-00	(8142) 76-88-60
11.0	Управление Федерального казначейства по Республике Коми	167031, г. Сыктывкар, ул. Громова, 45	Мамонов  Александр Юрьевич	(8212) 25-78-09	(8212) 25-78-00
12.0	Управление Федерального казначейства по Республике Марий Эл	424000, г. Йошкар-Ола,  ул. Вознесенская, 85	Шашаев  Валерий Алексеевич	(8362) 68-48-00	(8362) 68-48-04
13.0	Управление Федерального казначейства по Республике Мордовия	430005, г. Саранск, ул. Коммунистическая, 33/1	Кедров  Виктор Иванович	(8342) 28-10-00	(8342) 47-52-89
14.0	Управление Федерального казначейства по Республике Саха (Якутия)	677000, г. Якутск,  ул. Дзержинского, 22/7	Николаев  Алексей Егорович	(4112) 45-37-67	(4112) 45-24-85
15.0	Управление Федерального казначейства по Республике Северная Осетия-Алания	362008, г. Владикавказ,  ул. Коцоева, 24	Айларова  Галина Идыговна	(8672) 25-02-77	(8672) 25-01-85
16.0	Управление Федерального казначейства по Республике Татарстан	420043, г. Казань,  ул. Вишневского, 31	Зарипов  Марат Ривгатович	(843) 22-19-700	(843) 22-19-806
17.0	Управление Федерального казначейства по Республике Тыва	667000, г. Кызыл,  ул. Красноармейская, 76а	Кок-оол  Екатерина Петровна	(39422) 3-72-49 (39422) 2-21-28	(39422) 3-72-49 (39422) 3-72-38
18.0	Управление Федерального казначейства по Удмуртской Республике	426003, г. Ижевск,  ул. К. Либкнехта, 8	Колесников  Валерий Тимофеевич	(3412) 48-08-01 (3412) 48-08-02	(3412) 48-08-25
19.0	Управление Федерального казначейства по Республике Хакасия	655017, г. Абакан,  ул. Советская, 41	Белов  Александр Георгиевич	(3902) 22-11-66	(3902) 22-10-77
20.0	Управление Федерального казначейства по Чеченской Республике	364051, г. Грозный,   ул. Космонавтов, 15	Алимханов   Сулиман Шамсудиевич	(8712) 22-35-67	(8712) 22-26-62
21.0	Управление Федерального казначейства по Чувашской Республике	428004, г. Чебоксары,  Президентский б-р, 6	Клюкова  Ирина Николаевна	(8352) 39-21-02 (8352) 62-10-44	(8352) 62-12-15
22.0	Управление Федерального казначейства по Алтайскому краю	656049, г. Барнаул,  пр. Красноармейский, 9	Гусев  Сергей Иванович	(3852) 39-22-00	(3852) 39-22-61 (3852) 39-23-98
23.0	Управление Федерального казначейства по Забайкальскому краю	672002, г. Чита,  ул. Профсоюзная, 17	Коноплёв  Анатолий Федорович	(3022) 26-23-58 (3022) 32-54-23	(3022) 32-54-23
24.0	Управление Федерального казначейства по Камчатскому краю	683003, г. Петропавловск - Камчатский,   ул. Ленинградская, 89	Сушкевич   Парфен Парфенович	(4152) 419-800	(4152) 468-140 (4152) 419-856
25.0	Управление Федерального казначейства по Краснодарскому краю	350000, г. Краснодар,  ул. Карасунская, 155	Гуральников  Сергей Борисович	(861) 268-50-47	(861) 268-15-61
26.0	Управление Федерального казначейства по Красноярскому краю	660021, г. Красноярск,  пр. Мира, 103	Быченков  Владимир Викторович	(391) 211-00-40	(391) 221-06-08
27.0	Управление Федерального казначейства по Пермскому краю	614000, г. Пермь, ул. Коммунистическая, 55а	Зайнутдинова  Гульфия Акрамовна	(342) 239-97-36 (342) 239-97-37	(342) 237-58-55
28.0	Управление Федерального казначейства по Приморскому краю	690091, г. Владивосток,  ул. Светланская, 69	Мостовая  Галина Дмитриевна	(4232) 20-50-26 (4232) 22-88-64	(4232) 20-55-28
29.0	Управление Федерального казначейства по Ставропольскому краю	355002, г. Ставрополь,  ул. Артема, 20	Жильцова Раиса Андреевна	(8652) 37-29-20	(8652) 37-29-21
30.0	Управление Федерального казначейства по Хабаровскому краю	680000, г. Хабаровск,  ул. Дзержинского, 41	Ганушкина  Елена Александровна	(4212) 32-65-58	(4212) 74-78-59 (4212) 74-77-42
31.0	Управление Федерального казначейства по Амурской области	675000, г. Благовещенск,  ул. Ленина, д. 108, подъезд 1	Харченко  Эльвина Иосифовна	(4162) 44-28-02	(4162) 44-59-11
32.0	Управление Федерального казначейства по Архангельской области	163000, г. Архангельск,  ул. К.Либкнехта, 2	Баландин  Николай Альбертович	(8182) 65-10-83	(8182) 65-69-42
33.0	Управление Федерального казначейства по Астраханской области	414056, г. Астрахань,  ул. Латышева, 6г	Орехова  Валентина Евгеньевна	(8512) 54-25-54	(8512) 54-04-22
34.0	Управление Федерального казначейства по Белгородской области	308010, г. Белгород,  пр. Б.Хмельницкого, 139	Клименко  Владимир Иванович	(4722) 34-56-41	(4722) 26-34-55
35.0	Управление Федерального казначейства по Брянской области	241037, г. Брянск,  ул. Красноармейская, 158	Астахова  Ольга Казимировна	(4832) 41-16-55	(4832) 41-32-27
36.0	Управление Федерального казначейства по Владимирской области	600000, г. Владимир,  Октябрьский проспект, 3	Бочарова  Ольга Михайловна	(4922) 40-30-81 (4922) 40-30-22	(4922) 32-52-69
37.0	Управление Федерального казначейства по Волгоградской области	400131, г. Волгоград,  ул. Коммунистическая, 28а	Сазонов  Сергей Петрович	(8442) 33-30-83	(8442) 33-30-28
38.0	Управление Федерального казначейства по Вологодской области	160001, г. Вологда,  ул. Предтеченская, 10	Корепин  Роман Владимирович	(8172) 75-35-72	(8172) 72-21-66
39.0	Управление Федерального казначейства по Воронежской области	394006, г. Воронеж,  ул. Куцыгина,15а	Бережная  Людмила Алексеевна	(4732) 69-70-01	(4732) 55-16-51
40.0	Управление Федерального казначейства по Ивановской области	153038, г. Иваново,  пр. Строителей, 21	Голубева  Людмила Николаевна	(4932) 56-53-02	(4932) 56-54-48
41.0	Управление Федерального казначейства по Иркутской области	664003, г. Иркутск,  ул. Фурье, 1	Кузнецова  Татьяна Зиновьевна	(3952) 268 705 (3952) 268 826	(3952) 201 511 (3952) 335 857
42.0	Управление Федерального казначейства по Калининградской области	236000, г. Калининград,  ул. Зоологическая, 27а	Устинова  Валентина Ивановна	(4012) 990-661	(4012) 990-646
43.0	Управление Федерального казначейства по Калужской области	248009, г. Калуга,  Грабцевское шоссе, 39	Хвостенко  Николай Петрович	(4842) 54-50-85	(4842) 54-50-59
44.0	Управление Федерального казначейства по Кемеровской области	650993, г. Кемерово,  ул. Мичурина, 54	Мазурова  Людмила Петровна	(3842) 719001 (3842) 587400	(3842) 719094 (3842) 586086
45.0	Управление Федерального казначейства по Кировской области	610019, г. Киров,  ул. К.Либкнехта, 69	Гвызин Олег Леонидович	(8332) 48-70-20	(8332) 48-70-17
46.0	Управление Федерального казначейства по Костромской области	156961, г. Кострома,  ул. Красноармейская, 8	Ложников  Михаил Михайлович	(4942) 35-66-44	(4942) 35-66-44
47.0	Управление Федерального казначейства по  Курганской области	640018, г. Курган,  ул. Савельева, 23, а/я 2216	Кропанина  Галина Михайловна	(3522) 41-75-16	(3522) 41-29-43
48.0	Управление Федерального казначейства по Курской области	305000, г. Курск,  ул. Володарского, 22	Епифанова  Валентина Ивановна	(4712) 36-39-04	(4712) 36-39-20
49.0	Управление Федерального казначейства по Ленинградской области	196066, г. Санкт - Петербург,  ул. Варшавская, 63, к.1, а/я 144	Зварич Татьяна Евгеньевна	(812) 375-37-52	(812) 374-17-08
50.0	Управление Федерального казначейства по Липецкой области	398050, г. Липецк,  ул. Интернациональная, 5	Пелипец  Татьяна Михайловна	(4742) 420-303	(4742) 420-373
51.0	Управление Федерального казначейства по Магаданской области	685000, г. Магадан,  ул. Пролетарская, 25, корп. 1	Еремина  Татьяна Федоровна	(4132) 62-66-53	(4132) 62-66-93
52.0	Управление Федерального казначейства по Московской области	115114, г. Москва,  ул. Дербеневская, 5	Дильман  Александр Александрович	(495) 235-01-16	(495) 235-15-11
53.0	Управление Федерального казначейства по Мурманской области	183010, г. Мурманск,  пр. Кирова, 14/2	Гладкин  Виталий Иванович	(8152) 25-42-29	(8152) 23-17-17
54.0	Управление Федерального казначейства по Нижегородской области	603082, г. Нижний Новгород,  Кремль, корпус 1а	Мазина  Екатерина Борисовна	(831) 439-05-36	(831) 439-05-36
55.0	Управление Федерального казначейства по Новгородской области	173015, г. Великий Новгород,  ул. Нехинская, 10	Иванов   Валерий  Николаевич	(8162) 763-770	(8162) 763-774
56.0	Управление Федерального казначейства по Новосибирской области	630011, г. Новосибирск-11,  ул. Кирова, 3/1	Шлеёв  Владимир Фёдорович	(383) 218-08-07	(383) 218-23-83
57.0	Управление Федерального казначейства по Омской области	644043, г. Омск,  ул. Красногвардейская, 9	Сердюкова  Галина Николаевна	(3812) 25-04-60 (3812) 25-12-04	(3812) 25-12-04
58.0	Управление Федерального казначейства по Оренбургской области	460000, г. Оренбург,  Ленинская ул., 23	Чепурин  Владимир Анатольевич	(3532) 77-23-63	(3532) 77-23-63
59.0	Управление Федерального казначейства по Орловской области	302030, г. Орел,  ул. Московская, 38	Голяева  Руслана Федоровна	(4862) 47-07-00 (4862) 55-25-96	(4862) 55-59-55
60.0	Управление Федерального казначейства по Пензенской области	440008, г. Пенза,  ул. Ставского, 11	Волчков  Владимир Николаевич	(8412) 54-15-10 (8412) 54-18-77	(8412) 54-15-10
61.0	Управление Федерального казначейства по Псковской области	180000, г. Псков,  ул. Гоголя, 55/78	Федорова  Валентина Васильевна	(8112) 69-62-01 (8112) 66-39-39	(8112) 69-62-96 (8112) 66-08-62
62.0	Управление Федерального казначейства по Ростовской области	344019, г. Ростов-на-Дону,  пл. Свободы, 7/2	Костюченко  Владимир Федорович	(863) 244-09-64	(863) 244-09-55
63.0	Управление Федерального казначейства по Рязанской области	390000, г. Рязань,  ул. Петрова, 3	Карпов  Юрий Борисович	(4912) 28-94-89	(4912) 28-94-89
64.0	Управление Федерального казначейства по Самарской области	443110, г. Самара,  ул. Ново-Садовая, 24а	Киреев  Вячеслав Геннадьевич (вр.и.о.)	(846) 265-79-02	(846) 334-52-50
65.0	Управление Федерального казначейства по Саратовской области	410056, г. Саратов,  Ильинская пл., 1/6	Калиниченко  Ольга Михайловна	(8452) 51-80-20 (8452) 99-20-00	(8452) 51-79-72
66.0	Управление Федерального казначейства по Сахалинской области	693000, г. Южно-Сахалинск,  ул. Антона Буюклы, 34	Слесарев Виктор Владимирович	(4242) 46-06-00	(4242) 42-46-75
67.0	Управление Федерального казначейства по Свердловской области	620142, г. Екатеринбург,  ул. Фурманова, 34	Ваулин  Владимир Ильич	(343) 359-90-02	(343) 359-90-50
68.0	Управление Федерального казначейства по Смоленской области	214000, г. Смоленск,  ул. Докучаева, 7	Кирченко  Василий Петрович	(4812) 38-97-32	(4812) 38-99-61
69.0	Управление Федерального казначейства по Тамбовской области	392000, г. Тамбов,  ул. К.Маркса, 132	Федотова  Татьяна Александровна	(4752) 72-45-23	(4752) 71-53-09
70.0	Управление Федерального казначейства по Тверской области	170036, г. Тверь,  Петербургское шоссе, 53а	Моргачев  Анатолий Николаевич	(4822) 55-26-24 (4822) 50-96-47	(4822) 55-07-32 (4822) 55-57-06
71.0	Управление Федерального казначейства по Томской области	634034, г. Томск-61,  пр. Ленина, 27	Ревенкова  Галина Григорьевна	(3822) 42-67-10	(3822) 42-67-06
72.0	Управление Федерального казначейства по Тульской области	300041, г. Тула,  ул. Сойфера, 18	Натаров  Валерий Николаевич	(4872) 36-50-56	(4872) 36-51-85 (4872) 27-68-40
73.0	Управление Федерального казначейства по Тюменской области	625000, г. Тюмень,  ул. Урицкого, 36	Распопов  Анатолий Николаевич	(3452) 590-100	(3452) 46-88-55
74.0	Управление Федерального казначейства по Ульяновской области	432063, г. Ульяновск,  ул. Гончарова, 50/1	Чугунков  Дмитрий Николаевич	(8422) 42-75-00 (8422) 42-75-05	(8422) 42-75-25
75.0	Управление Федерального казначейства по Челябинской области	454080, г. Челябинск,  ул. Тернопольская, 4	Прокин  Александр Евгеньевич	(351) 265-73-00	(351) 265-73-01
76.0	Управление Федерального казначейства по Ярославской области	150000, г. Ярославль,  ул. Свободы, 46	Блатов  Юрий Николаевич	(4852) 72-19-69	(4852) 74-55-43
77.0	Управление Федерального казначейства по г. Москве	109240, г. Москва,  ул. Верхняя Радищевская, 11, стр. 1	Зайцев  Владимир Кузьмич	(495) 915-04-98	(495) 915-04-98
78.0	Управление Федерального казначейства по г. Санкт-Петербургу	197101, г. Санкт-Петербург,  ул. Котовского, 1/10	Каретин  Вячеслав Николаевич	(812) 230-60-32 (812) 235-19-72	(812) 235-10-00
79.0	Управление Федерального казначейства по  Еврейской автономной области	679016, г. Биробиджан,  ул. Миллера, 1	Окунева  Татьяна Владимировна	(42622) 4-05-81	(42622) 4-14-60
80.0	Управление Федерального казначейства по Ненецкому автономному округу	166000, г. Нарьян-Мар,  ул. Ленина, 34	Матвеева Ольга Германовна	(81853) 4-21-23	(81853) 4-12-80
81.0	Управление Федерального казначейства по Ханты-Мансийскому автономному округу - Югре	628012, г. Ханты-Мансийск,  ул. Карла Маркса, 12	Фугаев  Сергей Ефимович	(34673) 7-20-00	(34673) 7-20-06
82.0	Управление Федерального казначейства по Чукотскому автономному округу	689000, г. Анадырь,  ул. Мира, 10	Романченко  Тамара Николаевна	(42722) 2-36-50	(42722) 2-80-70
83.0	Управление Федерального казначейства по Ямало - Ненецкому автономному округу	629007, г. Салехард,  ул. Республики, 43	Селиверстова  Вера Сергеевна	(34922) 3-80-01	(34922) 3-81-20
